Handle,Title,Image Src,Image Position
392877624101,"Product 392877624101","https://i.ebayimg.com/images/g/yYAAAOSwpV5jl5nI/s-l1600.jpg",1
392877624101,"","https://i.ebayimg.com/images/g/gY4AAeSwkeNom0Ji/s-l1600.jpg",2
392877624101,"","https://i.ebayimg.com/images/g/sUYAAeSw5-5om0Jh/s-l1600.jpg",3
392877624101,"","https://i.ebayimg.com/images/g/KEUAAeSwNwNom0Ji/s-l1600.jpg",4
392877624101,"","https://i.ebayimg.com/images/g/9UoAAeSwSBlom0Ji/s-l1600.jpg",5
392877624101,"","https://i.ebayimg.com/images/g/jMoAAeSw1wRom0Jh/s-l1600.jpg",6
392877624101,"","https://i.ebayimg.com/images/g/FxYAAeSw6Q5om0Ji/s-l1600.jpg",7
392877624101,"","https://i.ebayimg.com/images/g/QUIAAeSwDVFom0Jh/s-l1600.jpg",8
392877624101,"","https://i.ebayimg.com/images/g/wdsAAeSwejdom0Ji/s-l1600.jpg",9
392877624101,"","https://i.ebayimg.com/images/g/~IEAAeSwmrhom0Jh/s-l1600.jpg",10
392877624103,"Product 392877624103","https://i.ebayimg.com/images/g/ZswAAeSwjoxpczE2/s-l1600.jpg",1
392877624103,"","https://i.ebayimg.com/images/g/ZnwAAeSwwwFpczE3/s-l1600.jpg",2
392877624103,"","https://i.ebayimg.com/images/g/jnYAAOSw5adnW~64/s-l1600.jpg",3
392877624103,"","https://i.ebayimg.com/images/g/ClsAAOSw7DFnXAnC/s-l1600.jpg",4
392877624103,"","https://i.ebayimg.com/images/g/afoAAOSwxOZnW~7E/s-l1600.jpg",5
392877624103,"","https://i.ebayimg.com/images/g/zCcAAOSwwdZnW~6~/s-l1600.jpg",6
392877624103,"","https://i.ebayimg.com/images/g/u0UAAOSwqy1nXAaO/s-l1600.jpg",7
392877624103,"","https://i.ebayimg.com/images/g/XNEAAOSwDWtnW~61/s-l1600.jpg",8
392877624103,"","https://i.ebayimg.com/images/g/BSUAAOSwSnZe5yaE/s-l1600.jpg",9
392877624103,"","https://i.ebayimg.com/images/g/XvUAAOSwCgRe5yaG/s-l1600.jpg",10
392877624103,"","https://i.ebayimg.com/images/g/X2cAAOSw05Ve5yaJ/s-l1600.jpg",11
392877624103,"","https://i.ebayimg.com/images/g/42AAAOSwDtde5yaN/s-l1600.jpg",12
392877624103,"","https://i.ebayimg.com/images/g/lBQAAOSwFohe5yaL/s-l1600.jpg",13
